ID,TODself_tot,TODparent_tot,TODteacher_tot
354015,68,43, 
354016,42,31, 
354017,47,48, 
354018,42,37, 
354019,42,31, 
354020,65,56, 
354021,47,34, 
354022,66,45, 
354023,52,33, 
354024,66,50, 
354025,38,30, 
354026,67,46, 
354027,48,32, 
354028,87,69, 
354029,86,65, 
354030,67,59, 
354031,45,30, 
354032,44,33, 
354033,86,52, 
354034,92,87, 
354035,42,36,37
354037,50,33, 
354038,53,36, 
354039,92,92,101
360001,67,71, 
360002,74, , 
360004,103,80, 
360006,94,64, 
360007,88,80, 
360010,93,67, 
360011,101,71, 
360013,81,63, 
360017,111, , 
360020,94,84, 
360024,87, , 
360026, ,84, 
360029,105, , 
360035,99, , 
360038, ,72, 
362002,85,71, 
362004,85,60, 
362006, ,59, 
362008,88,66, 
362009,81,71, 
