ID,noweight,agestrat,gradestrat,gender,educ,ethnic,region,demo_wt,sege_sum,sege_sum_w,rlne_sum,rlne_sum_w,rhme_sum,rhme_sum_w,snwe_sum,snwe_sum_w,lswe_sum,lswe_sum_w,lske_sum,lske_sum_w,ORF_noNeg,ORF_noNeg_w
305019,,7:0-7:5,2_Fall,female,BA_plus,white,west,0.8882074776083315,17,15,75,67,25,22,29,26,38,34,33,29,197,175
305020,,6:8-6:11,1_Fall,male,BA_plus,white,west,0.9469881110666128,16,15,60,57,4,4,12,11,17,16,21,20,92,87
305022,,6:0-6:3,1_Fall,male,BA_plus,white,west,0.9469881110666128,19,18,108,102,21,20,30,28,37,35,31,29,219,207
305026,,6:8-6:11,1_Fall,female,BA_plus,white,west,0.8882074776083315,17,15,92,82,27,24,25,22,38,34,34,30,216,192
309014,,6:8-6:11,1_Fall,female,HS_grad,black,south,0.9079381732143483,19,17,29,26,19,17,14,13,14,13,19,17,94,85
309015,,7:0-7:5,2_Fall,male,some_college,asian,south,0.652650900869422,26,17,98,64,31,20,22,14,37,24,34,22,186,121
309021,,7:0-7:5,2_Fall,female,some_college,asian,south,0.6121401141637548,24,15,58,36,28,17,19,12,35,21,31,19,129,79
309026,,6:4-6:7,1_Fall,female,some_college,asian,south,0.6121401141637548,11,7,55,34,24,15,14,9,19,12,34,21,99,61
309033,,5:0-5:7,K_Fall,male,HS_grad,black,south,0.9680245632841558,25,24,34,33,18,17,18,17,9,9,26,25,102,99
309035,,5:8-5:11,K_Fall,female,HS_grad,black,south,0.9079381732143483,13,12,40,36,1,1,10,9,12,11,15,14,,
